"PRODUCT","BARCODE","FORMATT","MACHINEMAKE","MACHINEMODEL","CAFFEA","VARIETAL","ORIGIN","ROASTING","PROCESS","PACKAGING","RETAILPRICE","STOCK","MIN_STOCK","MAX_STOCK","COSTPRICE","PROVIDER","TAXID","SALESPERSON","EMAIL","PHONENUM","BANKACCOUNT","THOROUGHFARE","WAYNAME","GATENUMBER","BLOCKK","STAIRS","FLOORR","DOOR","ZIP","TOWN","COUNTRY",id_product
"Son antes","OQO17188Q460551","prepared","","","Arabica","Maragogype","Brasil","natural","normal","can 330 ml.","3.99 E",4088,260,4630,"3.51 E","Enrique S.L.","N96448108T","Enrique Martinez","enrique@servcorreo.ucetreseme.kom",555632088,"IQO90213Q86210207","Avenue","Orange Tree","87",,,"Ground","",64503,"Sotosetas","Viet Nam",1
"Son antes","OQO17188Q460551","prepared","","","Arabica","Maragogype","Brasil","natural","normal","can 330 ml.","3.99 E",4088,260,4630,"3.59 E","Pia Cubillo S.L.","V05289304V","Ana Pia Paz","pia@servcorreo.ucetreseme.kom",555396966,"OII09879O32970070","Street","Divine Trinity","135",,,"First","D",88386,"Villanieblas","Pakistan",2
"Son antes","OQO17188Q460551","prepared","","","Arabica","Maragogype","Brasil","natural","normal","can 330 ml.","3.99 E",4088,260,4630,"3.03 E","Yamika S.L.","G78406586T","Yamille Helguera","yamika@servcorreo.ucetreseme.kom",555608299,"IQO49987O57843393","Promenade","Tulips","19",,,"","",21253,"Monte de la Costa","Ireland",3
"Son antes","QIO44629Q878316","prepared","","","Arabica","Maragogype","Brasil","natural","normal","cup 200 ml.","2.70 E",2701,210,4300,"2.37 E","Enrique S.L.","N96448108T","Enrique Martinez","enrique@servcorreo.ucetreseme.kom",555632088,"IQO90213Q86210207","Avenue","Orange Tree","87",,,"Ground","",64503,"Sotosetas","Viet Nam",4
"Son antes","QIO44629Q878316","prepared","","","Arabica","Maragogype","Brasil","natural","normal","cup 200 ml.","2.70 E",2701,210,4300,"2.43 E","Pia Cubillo S.L.","V05289304V","Ana Pia Paz","pia@servcorreo.ucetreseme.kom",555396966,"OII09879O32970070","Street","Divine Trinity","135",,,"First","D",88386,"Villanieblas","Pakistan",5
"Son antes","QIO44629Q878316","prepared","","","Arabica","Maragogype","Brasil","natural","normal","cup 200 ml.","2.70 E",2701,210,4300,"2.05 E","Yamika S.L.","G78406586T","Yamille Helguera","yamika@servcorreo.ucetreseme.kom",555608299,"IQO49987O57843393","Promenade","Tulips","19",,,"","",21253,"Monte de la Costa","Ireland",6
"Son antes","OQI73010I681542","capsules","Kurt","Cougar","Arabica","Maragogype","Brasil","natural","normal","pkg 25 un.","2.90 E",2387,80,4210,"2.55 E","Enrique S.L.","N96448108T","Enrique Martinez","enrique@servcorreo.ucetreseme.kom",555632088,"IQO90213Q86210207","Avenue","Orange Tree","87",,,"Ground","",64503,"Sotosetas","Viet Nam",7
"Son antes","OQI73010I681542","capsules","Kurt","Cougar","Arabica","Maragogype","Brasil","natural","normal","pkg 25 un.","2.90 E",2387,80,4210,"2.61 E","Pia Cubillo S.L.","V05289304V","Ana Pia Paz","pia@servcorreo.ucetreseme.kom",555396966,"OII09879O32970070","Street","Divine Trinity","135",,,"First","D",88386,"Villanieblas","Pakistan",8
"Son antes","OQI73010I681542","capsules","Kurt","Cougar","Arabica","Maragogype","Brasil","natural","normal","pkg 25 un.","2.90 E",2387,80,4210,"2.20 E","Yamika S.L.","G78406586T","Yamille Helguera","yamika@servcorreo.ucetreseme.kom",555608299,"IQO49987O57843393","Promenade","Tulips","19",,,"","",21253,"Monte de la Costa","Ireland",9
"Son antes","QII79718I227817","capsules","Kurt","Cougar","Arabica","Maragogype","Brasil","natural","normal","pkg 10 un.","1.86 E",2393,220,4080,"1.63 E","Enrique S.L.","N96448108T","Enrique Martinez","enrique@servcorreo.ucetreseme.kom",555632088,"IQO90213Q86210207","Avenue","Orange Tree","87",,,"Ground","",64503,"Sotosetas","Viet Nam",10
